"","ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU","VAKIF MYO","İSTANBUL","İKİNCİ Ö.","121","109","230","0","0","0","0","0","0","0","0","0","121","109","230",""
"","ATATÜRK ÜNİVERSİTESİ","DEVLET","ERZURUM","BİRİNCİ Ö.","6214","4548","10762","13603","15695","29298","2820","2517","5337","1553","945","2498","24190","23705","47895",""
"","ATATÜRK ÜNİVERSİTESİ","DEVLET","ERZURUM","İKİNCİ Ö.","2263","759","3022","7470","5298","12768","50","1","51","0","0","0","9783","6058","15841",""
"","ATATÜRK ÜNİVERSİTESİ","DEVLET","ERZURUM","UZAKTAN Ö.","28","8","36","1559","2936","4495","405","128","533","0","0","0","1992","3072","5064",""
"","ATATÜRK ÜNİVERSİTESİ","DEVLET","ERZURUM","AÇIK Ö.","113787","152112","265899","27911","32201","60112","0","0","0","0","0","0","141698","184313","326011",""
"","ATILIM ÜNİVERSİTESİ","VAKIF","ANKARA","BİRİNCİ Ö.","13","13","26","4917","3520","8437","502","319","821","90","58","148","5522","3910","9432",""
"","ATILIM ÜNİVERSİTESİ","VAKIF","ANKARA","UZAKTAN Ö.","23","0","23","0","0","0","45","10","55","0","0","0","68","10","78",""
"","AVRASYA ÜNİVERSİTESİ","VAKIF","TRABZON","BİRİNCİ Ö.","949","1084","2033","1766","1884","3650","487","156","643","17","8","25","3219","3132","6351",""
"","AVRASYA ÜNİVERSİTESİ","VAKIF","TRABZON","İKİNCİ Ö.","232","244","476","0","0","0","49","7","56","0","0","0","281","251","532",""
"","AVRUPA MESLEK YÜKSEKOKULU","VAKIF MYO","İSTANBUL","BİRİNCİ Ö.","492","695","1187","0","0","0","0","0","0","0","0","0","492","695","1187",""
"","AVRUPA MESLEK YÜKSEKOKULU","VAKIF MYO","İSTANBUL","İKİNCİ Ö.","504","401","905","0","0","0","0","0","0","0","0","0","504","401","905",""
"","AYDIN ADNAN MENDERES ÜNİVERSİTESİ","DEVLET","AYDIN","BİRİNCİ Ö.","6518","6267","12785","10556","11933","22489","1357","1430","2787","294","362","656","18725","19992","38717",""
"","AYDIN ADNAN MENDERES ÜNİVERSİTESİ","DEVLET","AYDIN","İKİNCİ Ö.","3304","2042","5346","3829","2915","6744","217","85","302","0","0","0","7350","5042","12392",""
"","BAHÇEŞEHİR ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","486","686","1172","9240","8153","17393","3154","2802","5956","218","215","433","13098","11856","24954",""
"","BAHÇEŞEHİR ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","16","5","21","0","0","0","0","0","0","0","0","0","16","5","21",""
"","BAHÇEŞEHİR ÜNİVERSİTESİ","VAKIF","İSTANBUL","UZAKTAN Ö.","5","2","7","0","0","0","101","59","160","0","0","0","106","61","167",""
"","BALIKESİR ÜNİVERSİTESİ","DEVLET","BALIKESİR","BİRİNCİ Ö.","4594","2648","7242","7389","7845","15234","838","830","1668","176","127","303","12997","11450","24447",""
"","BALIKESİR ÜNİVERSİTESİ","DEVLET","BALIKESİR","İKİNCİ Ö.","2339","1185","3524","4181","2389","6570","167","60","227","0","0","0","6687","3634","10321",""
"","BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ","DEVLET","BALIKESİR","BİRİNCİ Ö.","1084","996","2080","2032","2131","4163","274","205","479","19","16","35","3409","3348","6757",""
"","BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ","DEVLET","BALIKESİR","İKİNCİ Ö.","584","453","1037","1530","1114","2644","0","0","0","0","0","0","2114","1567","3681",""
